127.0.0.1 - - [16/Nov/2018:05:29:59 -0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [16/Nov/2018:05:30:01 -0800] "GET /cinema-project/ HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [16/Nov/2018:05:30:09 -0800] "GET /cinema-project/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2018:05:30:09 -0800] "GET /cinema-project/avatar.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2018:05:30:09 -0800] "GET /cinema-project/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2018:05:30:10 -0800] "GET /cinema-project/pic1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2018:05:30:10 -0800] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [16/Nov/2018:05:30:17 -0800] "POST /cinema-project/query/client/login HTTP/1.1" 303 -
0:0:0:0:0:0:0:1 - - [16/Nov/2018:05:30:17 -0800] "GET /cinema-project/faces/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2018:05:30:17 -0800] "GET /cinema-project/faces/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2018:05:30:17 -0800] "GET /cinema-project/faces/avatar.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2018:05:30:17 -0800] "GET /cinema-project/faces/pic1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2018:05:30:31 -0800] "POST /cinema-project/faces/query/client/login HTTP/1.1" 303 5
0:0:0:0:0:0:0:1 - - [16/Nov/2018:05:30:31 -0800] "GET /cinema-project/home.jsp?id=24&moviesNumber=0&name=Codrut14&email=codrutfodor7@yahoo.com&cellphone=1234567890 HTTP/1.1" 200 2721
0:0:0:0:0:0:0:1 - - [16/Nov/2018:05:30:31 -0800] "GET /cinema-project/style/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2018:05:30:31 -0800] "GET /cinema-project/style/side_base.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2018:05:30:31 -0800] "GET /cinema-project/style/side_top.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2018:05:30:31 -0800] "GET /cinema-project/style/side_back.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2018:05:30:31 -0800] "GET /cinema-project/style/bullet.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2018:05:30:34 -0800] "GET /cinema-project/query/client/24/myMovies HTTP/1.1" 303 -
0:0:0:0:0:0:0:1 - - [16/Nov/2018:05:30:35 -0800] "GET /cinema-project/myMovies.jsp?id=24&moviesNumber=0 HTTP/1.1" 200 2515
0:0:0:0:0:0:0:1 - - [16/Nov/2018:05:30:35 -0800] "GET /cinema-project/query/client/24/allMovies HTTP/1.1" 303 -
